NEIGHBORHOOD,ADDRESS, SALE_PRICE ,SALE_DATE
HARLEM-WEST,"512 WEST 135TH STREET, 64","36,106",10/1/2019
HARLEM-CENTRAL,"2460 7TH AVENUE, 57","200,000",10/1/2019
MIDTOWN CBD,"2 EAST 55TH STREET, 1036","293,034",10/1/2019
CLINTON,"433 WEST 54TH STREET, 12","350,000",10/1/2019
UPPER EAST SIDE (59-79),"236 EAST 78TH STREET, 5B","363,750",10/1/2019
MIDTOWN WEST,"310 WEST 56TH STREET, 2E","462,500",10/1/2019
MIDTOWN EAST,"10 MITCHELL PLACE, 9F","480,000",10/1/2019
HARLEM-CENTRAL,"70 WEST 139 STREET, 5F","533,786",10/1/2019
MURRAY HILL,"225 EAST 36TH STREET, 6F","535,000",10/1/2019
UPPER EAST SIDE (59-79),"165 EAST 72ND STREET, 3B","540,000",10/1/2019
FLATIRON,"7 EAST 14TH STREET, 328","649,000",10/1/2019
TRIBECA,"250 SOUTH END AVENUE, 5B","675,000",10/1/2019
CIVIC CENTER,"215 PARK ROW, 18C","690,000",10/1/2019
GREENWICH VILLAGE-CENTRAL,"42 WEST 13TH STREET, 5B","747,500",10/1/2019
MIDTOWN EAST,"333 E 55TH ST, 6G","799,000",10/1/2019
UPPER WEST SIDE (59-79),"41 WEST 72ND STREET, 10F","962,246",10/1/2019
GREENWICH VILLAGE-CENTRAL,"50 WEST 9TH STREET, 1A","1,040,000",10/1/2019
SOUTHBRIDGE,"90 GOLD STREET, 24-C","1,060,000",10/1/2019
MURRAY HILL,"155 EAST 34TH STREET, 12F","1,065,000",10/1/2019
HARLEM-CENTRAL,"1485 5 AVENUE, 16G","1,100,000",10/1/2019
HARLEM-UPPER,"558 W 150TH STREET, 401","1,150,000",10/1/2019
FLATIRON,"5 EAST 22ND STREET, 15-H","1,215,000",10/1/2019
FLATIRON,"69 FIFTH AVENUE, 9F","1,215,000",10/1/2019
EAST VILLAGE,"24 2 AVENUE, 6E","1,237,174",10/1/2019
UPPER EAST SIDE (79-96),"1 GRACIE SQUARE, 15-E","1,390,500",10/1/2019
GRAMERCY,"122 EAST 23RD STREET, N1103","1,464,447",10/1/2019
MURRAY HILL,"50 PARK AVENUE, PHE","1,470,150",10/1/2019
UPPER WEST SIDE (79-96),"215 WEST 92ND STREET, 4E","1,475,000",10/1/2019
UPPER EAST SIDE (59-79),"30 E 62ND STREET, 6B","1,485,000",10/1/2019
UPPER WEST SIDE (96-116),"395 RIVERSIDE DRIVE, 9A","1,490,000",10/1/2019
CLINTON,"529 WEST 42ND STREET, 7/8X","1,572,800",10/1/2019
UPPER EAST SIDE (79-96),"51 EAST 90TH STREET, 5B","1,625,000",10/1/2019
ROOSEVELT ISLAND,"425 MAIN STREET, 14L","1,675,000",10/1/2019
MIDTOWN EAST,"959 1 AVENUE, 11B","1,730,000",10/1/2019
MIDTOWN CBD,"117 EAST 57TH STREET, 27A","1,850,000",10/1/2019
MIDTOWN EAST,"845 UNITED NATIONS PLAZA, 33E","2,042,500",10/1/2019
UPPER EAST SIDE (59-79),"1065 LEXINGTON AVENUE, 2B","2,065,000",10/1/2019
MANHATTAN VALLEY,"2131 FREDERICK DOUGLAS BLVD, 7F","2,150,000",10/1/2019
CHELSEA,"245 10TH AVENUE, 10/5E","2,275,000",10/1/2019
